StockCode,Description,TotalRevenue,TotalQuantity,OrderCount
48188,DOORMAT WELCOME PUPPIES,11536.25,2027,252
22191,IVORY DINER WALL CLOCK,11527.7,1419,391
22427,ENAMEL FLOWER JUG CREAM,11421.130000000001,1991,441
21755,LOVE BUILDING BLOCK WORD,11398.710000000001,1923,555
82486,WOOD S/3 CABINET ANT WHITE FINISH,11343.2,1364,373
22193,RED DINER WALL CLOCK,11048.890000000001,1349,416
21232,STRAWBERRY CERAMIC TRINKET BOX,10883.02,9318,507
21930,JUMBO STORAGE BAG SKULLS,10865.83,5694,471
22501,PICNIC BASKET WICKER LARGE,10799.0,1192,257
22570,FELTCRAFT CUSHION RABBIT,10672.31,3012,324
22413,METAL SIGN TAKE IT OR LEAVE IT ,10638.45,3687,351
21790,VINTAGE SNAP CARDS,10441.47,13329,722
47566B,TEA TIME PARTY BUNTING,10430.400000000001,2288,313
21936,RED RETROSPOT PICNIC BAG,10365.76,3756,385
23209,LUNCH BAG VINTAGE DOILY ,10347.66,6438,538
22662,LUNCH BAG DOLLY GIRL DESIGN,10330.99,6527,598
23209,LUNCH BAG DOILEY PATTERN ,10323.05,6477,464
22730,ALARM CLOCK BAKELIKE IVORY,10259.36,2721,468
22087,PAPER BUNTING WHITE LACE,10243.400000000001,3772,257
85014B,RED RETROSPOT UMBRELLA,10217.720000000001,1841,303
21479,WHITE SKULL HOT WATER BOTTLE ,10215.47,2699,378
22617,BAKING SET SPACEBOY DESIGN,10210.890000000001,2153,424
23170,REGENCY TEA PLATE ROSES ,10170.99,6563,328
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,10123.16,925,260
20724,RED RETROSPOT CHARLOTTE BAG,10122.45,12805,739
47590A,BLUE HAPPY BIRTHDAY BUNTING,10096.62,1948,355
22988,SOLDIERS EGG CUP ,10070.220000000001,8757,327
21891,TRADITIONAL WOODEN SKIPPING ROPE,9998.32,7904,340
23208,LUNCH BAG VINTAGE LEAF DESIGN,9950.35,6191,597
23300,GARDENERS KNEELING PAD CUP OF TEA ,9933.689999999999,6285,635
22499,WOODEN UNION JACK BUNTING,9928.83,1734,296
84997C,CHILDRENS CUTLERY POLKADOT BLUE,9827.25,2523,211
48173C,DOORMAT BLACK FLOCK ,9797.75,1784,173
23343,JUMBO BAG VINTAGE CHRISTMAS ,9742.1,4905,385
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,9649.99,12305,732
23076,ICE CREAM SUNDAE LIP GLOSS,9638.16,7896,248
22569,FELTCRAFT CUSHION BUTTERFLY,9632.98,2692,294
22690,DOORMAT HOME SWEET HOME BLUE ,9619.99,1595,261
84997B,CHILDRENS CUTLERY RETROSPOT RED ,9603.68,2492,229
22846,BREAD BIN DINER STYLE RED ,9597.31,626,249
22556,PLASTERS IN TIN CIRCUS PARADE ,9588.71,5947,521
22970,LONDON BUS COFFEE MUG,9582.15,4213,276
82600,NO SINGING METAL SIGN,9571.5,4635,384
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,9566.51,15563,529
22605,WOODEN CROQUET GARDEN SET,9555.98,709,240
22633,HAND WARMER UNION JACK,9516.960000000001,4730,441
22692,DOORMAT WELCOME TO OUR HOME,9451.58,1376,338
22555,PLASTERS IN TIN STRONGMAN,9444.14,5874,449
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,9401.82,2698,319
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,1266,214
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9313.17,2465,319
22621,TRADITIONAL KNITTING NANCY,9294.57,5893,509
22560,TRADITIONAL MODELLING CLAY,9281.47,7990,336
22766,PHOTO FRAME CORNICE,9277.28,3176,454
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,9271.84,8219,278
23240,SET OF 4 KNICK KNACK TINS DOILY ,9237.300000000001,2286,312
21914,BLUE HARMONICA IN BOX ,9218.88,7431,517
21481,FAWN BLUE HOT WATER BOTTLE,9196.050000000001,2919,379
23171,REGENCY TEA PLATE GREEN ,9184.9,5966,270
22978,PANTRY ROLLING PIN,9180.529999999999,2406,197
21217,RED RETROSPOT ROUND CAKE TINS,9178.3,974,257
22561,WOODEN SCHOOL COLOURING SET,9064.619999999999,5690,395
20679,EDWARDIAN PARASOL RED,9055.87,1630,270
23175,REGENCY MILK JUG PINK ,8995.0,3062,272
22992,REVOLVER WOODEN RULER ,8944.439999999999,4914,285
22838,3 TIER CAKE TIN RED AND CREAM,8737.78,652,136
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,8721.89,3711,426
85150,LADIES & GENTLEMEN METAL SIGN,8696.58,3898,367
84375,SET OF 20 KIDS COOKIE CUTTERS,8676.27,4139,416
20972,PINK CREAM FELT CRAFT TRINKET BOX ,8617.24,7106,535
22966,GINGERBREAD MAN COOKIE CUTTER,8615.130000000001,7196,554
84991,60 TEATIME FAIRY CAKE CASES,8604.62,17664,657
22619,SET OF 6 SOLDIER SKITTLES,8571.25,2370,340
82582,AREA PATROLLED METAL SIGN,8548.02,4288,374
22632,HAND WARMER RED RETROSPOT,8513.52,4268,341
23582,VINTAGE DOILY JUMBO BAG RED ,8508.220000000001,4434,234
21791,VINTAGE HEADS AND TAILS CARD GAME ,8500.16,7118,485
23581,JUMBO BAG PAISLEY PARK,8498.04,4358,302
22424,ENAMEL BREAD BIN CREAM,8493.5,711,326
22041,"RECORD FRAME 7"" SINGLE SIZE ",8450.82,3812,196
22169,FAMILY ALBUM WHITE PICTURE FRAME,8408.14,1074,286
22776,SWEETHEART CAKESTAND 3 TIER,8366.65,891,326
21174,POTTERING IN THE SHED METAL SIGN,8364.64,3922,371
23318,BOX OF 6 MINI VINTAGE CRACKERS,8345.43,3645,329
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8330.12,1836,241
22989,SET 2 PANTRY DESIGN TEA TOWELS,8310.17,2693,311
22147,FELTCRAFT BUTTERFLY HEARTS,8308.75,6123,436
22791,T-LIGHT GLASS FLUTED ANTIQUE,8288.890000000001,7264,260
22759,SET OF 3 NOTEBOOKS IN PARCEL,8267.25,5197,319
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8259.25,10267,306
23319,BOX OF 6 MINI 50'S CRACKERS,8169.4800000000005,3520,365
71459,HANGING JAM JAR T-LIGHT HOLDER,8164.12,10528,310
23322,LARGE WHITE HEART OF WICKER,8137.500000000001,2892,511
22655,VINTAGE RED KITCHEN CABINET,8125.0,60,38
23082,SET 6 PAPER TABLE LANTERN HEARTS ,8110.68,2260,263
23078,ICE CREAM PEN LIP GLOSS ,8077.31,6607,213
48116,DOORMAT MULTICOLOUR STRIPE,8045.2699999999995,1418,141
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8040.27,2839,329
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8022.76,2210,401
22158,3 HEARTS HANGING DECORATION RUSTIC,8013.71,2845,261
22729,ALARM CLOCK BAKELIKE ORANGE,7984.38,2179,359
23256,CHILDRENS CUTLERY SPACEBOY ,7966.080000000001,1980,316
21210,SET OF 72 RETROSPOT PAPER  DOILIES,7943.0199999999995,5677,365
23080,RED METAL BOX TOP SECRET,7920.78,998,221
22667,RECIPE BOX RETROSPOT ,7896.85,2851,441
21121,SET/10 RED POLKADOT PARTY CANDLES,7794.18,6498,336
22652,TRAVEL SEWING KIT,7779.11,4859,394
72741,GRAND CHOCOLATECANDLE,7758.95,5783,249
22502,PICNIC BASKET WICKER SMALL,7728.85,1424,232
84378,SET OF 3 HEART COOKIE CUTTERS,7719.34,6001,521
20711,JUMBO BAG TOYS ,7689.28,4198,245
22940,FELTCRAFT CHRISTMAS FAIRY,7658.93,1881,302
22768,FAMILY PHOTO FRAME CORNICE,7636.889999999999,836,233
35970,ZINC FOLKART SLEIGH BELLS,7631.31,4627,339
23439,HAND WARMER RED LOVE HEART,7574.1,3721,371
22192,BLUE DINER WALL CLOCK,7528.93,907,338
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,7495.29,2063,281
21136,PAINTED METAL PEARS ASSORTED,7454.22,4454,352
22952,60 CAKE CASES VINTAGE CHRISTMAS,7405.200000000001,14712,466
21314,SMALL GLASS HEART TRINKET POT,7399.960000000001,3664,342
22557,PLASTERS IN TIN VINTAGE PAISLEY ,7331.839999999999,4564,480
21770,OPEN CLOSED METAL SIGN,7296.51,1574,341
20719,WOODLAND CHARLOTTE BAG,7261.94,9219,531
22616,PACK OF 12 LONDON TISSUES ,7261.7699999999995,25329,382
21908,CHOCOLATE THIS WAY METAL SIGN,7204.320000000001,3633,374
21889,WOODEN BOX OF DOMINOES,7200.95,5766,449
22900, SET 2 TEA TOWELS I LOVE LONDON ,7190.95,2621,192
84949,SILVER HANGING T-LIGHT HOLDER,7173.449999999999,4653,250
22585,PACK OF 6 BIRDY GIFT TAGS,7135.95,6051,319
23240,SET OF 4 KNICK KNACK TINS DOILEY ,7132.700000000001,1802,172
84406B,CREAM CUPID HEARTS COAT HANGER,7121.2300000000005,1917,241
23238,SET OF 4 KNICK KNACK TINS LONDON ,7116.650000000001,1775,233
22355,CHARLOTTE BAG SUKI DESIGN,7114.85,8947,585
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7109.200000000001,3459,421
84836,ZINC METAL HEART DECORATION,7099.93,5750,476
22750,FELTCRAFT PRINCESS LOLA DOLL,7095.69,1945,378
22795,SWEETHEART RECIPE BOOK STAND,7077.900000000001,1098,287
21218,RED SPOTTY BISCUIT TIN,7071.2,2058,203
23007, SPACEBOY BABY GIFT SET,7048.549999999999,449,142
22741,FUNKY DIVA PEN,7010.94,8328,155
22950,36 DOILIES VINTAGE CHRISTMAS,7004.799999999999,5152,160
21787,RAIN PONCHO RETROSPOT,6962.08,8752,180
23215,JINGLE BELL HEART ANTIQUE SILVER,6955.8,3544,197
22767,TRIPLE PHOTO FRAME CORNICE ,6932.83,761,208
23320,GIANT 50'S CHRISTMAS CRACKER,6907.52,2628,310
21231,SWEETHEART CERAMIC TRINKET BOX,6864.610000000001,5748,381
21213,PACK OF 72 SKULL CAKE CASES,6855.46,14302,499
22991,GIRAFFE WOODEN RULER,6816.84,3708,234
22456,NATURAL SLATE CHALKBOARD LARGE ,6813.400000000001,1448,303
84970S,HANGING HEART ZINC T-LIGHT HOLDER,6808.49,8444,412
21035,SET/2 RED RETROSPOT TEA TOWELS ,6807.01,2315,219
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6803.17,5657,321
23321,SMALL WHITE HEART OF WICKER,6798.099999999999,4262,582
22487,WHITE WOOD GARDEN PLANT LADDER,6768.86,723,379
22844,VINTAGE CREAM DOG FOOD CONTAINER,6753.85,823,292
22333,RETROSPOT PARTY BAG + STICKER SET,6745.929999999999,4389,267
21169,YOU'RE CONFUSING ME METAL SIGN ,6743.98,4270,342
23493,VINTAGE DOILY TRAVEL SEWING KIT,6736.2,3516,349
23083,SET 6 PAPER TABLE LANTERN STARS ,6735.88,1859,209
20969,RED FLORAL FELTCRAFT SHOULDER BAG,6726.81,1874,257
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,6711.0,5287,498
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6705.04,2848,324
21877,HOME SWEET HOME MUG,6698.56,5340,293
48111,DOORMAT 3 SMILEY CATS,6690.8,1104,174
C2,CARRIAGE,6686.0,134,133
23297,SET 40 HEART SHAPE PETIT FOUR CASES,6677.0,4260,140
22634,CHILDS BREAKFAST SET SPACEBOY ,6652.0,728,203
21955,DOORMAT UNION JACK GUNS AND ROSES,6619.41,1157,155
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,6599.06,1688,166
22840,ROUND CAKE TIN VINTAGE RED,6576.88,888,250
22294,HEART FILIGREE DOVE  SMALL,6574.82,5362,246
22627,MINT KITCHEN SCALES,6574.29,789,304
22968,ROSE COTTAGE KEEPSAKE BOX ,6565.0,728,144
22367,CHILDRENS APRON SPACEBOY DESIGN,6560.79,3537,448
22725,ALARM CLOCK BAKELIKE CHOCOLATE,6559.26,1772,322
23008,DOLLY GIRL BABY GIFT SET,6534.049999999999,419,120
23254,CHILDRENS CUTLERY DOLLY GIRL ,6525.55,1621,268
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,6520.91,8111,489
22553,PLASTERS IN TIN SKULLS,6461.249999999999,4033,440
23293,SET OF 12 FAIRY CAKE BAKING CASES,6457.0,8228,465
23134,LARGE ZINC HEART WALL ORGANISER,6414.48,1064,37
21259,VICTORIAN SEWING BOX SMALL ,6402.360000000001,1123,237
21165,BEWARE OF THE CAT METAL SIGN ,6401.93,4025,359
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6378.150000000001,1023,225
85014A,BLACK/BLUE POLKADOT UMBRELLA,6361.990000000001,1132,256
21122,SET/10 PINK POLKADOT PARTY CANDLES,6346.08,5251,304
22637,PIGGY BANK RETROSPOT ,6298.37,2615,262
22505,MEMO BOARD COTTAGE DESIGN,6286.39,1361,262
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,6267.39,2149,337
84992,72 SWEETHEART FAIRY CAKE CASES,6252.35,13029,501
23553,LANDMARK FRAME CAMDEN TOWN ,6244.85,557,62
21669,BLUE STRIPE CERAMIC DRAWER KNOB,6239.4,4936,351
22381,TOY TIDY PINK POLKADOT,6225.38,3167,289
21533,RETROSPOT LARGE MILK JUG,6217.650000000001,1307,310
22826,LOVE SEAT ANTIQUE WHITE METAL,6210.0,58,41
21668,RED STRIPE CERAMIC DRAWER KNOB,6177.53,5001,333
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,6155.04,1712,163
21871,SAVE THE PLANET MUG,6150.13,5264,270
23229,VINTAGE DONKEY TAIL GAME ,6146.89,1750,215
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,6124.13,707,186
23480,MINI LIGHTS WOODLAND MUSHROOMS,6118.59,1718,173
22834,HAND WARMER BABUSHKA DESIGN,6118.43,4604,288
22631,CIRCUS PARADE LUNCH BOX ,6114.83,3371,256
22303,COFFEE MUG APPLES DESIGN,6108.85,2764,229
23541,WALL ART CLASSIC PUDDINGS ,6093.49,821,118
75049L,LARGE CIRCULAR MIRROR MOBILE,6092.049999999999,6809,118
23103,JINGLE BELL HEART DECORATION,6055.949999999999,3679,307
22635,CHILDS BREAKFAST SET DOLLY GIRL ,6053.049999999999,656,180
21326,AGED GLASS SILVER T-LIGHT HOLDER,6052.0,10040,277
47556B,TEA TIME TEA TOWELS ,6045.0,2600,2
22663,JUMBO BAG DOLLY GIRL DESIGN,6006.33,3096,317
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,5974.39,11661,504
17003,BROCADE RING PURSE ,5969.61,22927,206
22654,DELUXE SEWING KIT ,5968.67,1057,222
22620,4 TRADITIONAL SPINNING TOPS,5952.83,4486,364
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5939.280000000001,1274,159
22783,SET 3 WICKER OVAL BASKETS W LIDS,5922.12,462,32
22508,DOORSTOP RETROSPOT HEART,5919.46,1511,236
21975,PACK OF 60 DINOSAUR CAKE CASES,5919.280000000001,12106,529
22151,PLACE SETTING WHITE HEART,5912.19,14853,289
21380,WOODEN HAPPY BIRTHDAY GARLAND,5901.3,2090,232
21155,RED RETROSPOT PEG BAG,5874.95,2458,354
22900,SET 2 TEA TOWELS I LOVE LONDON ,5839.75,1947,176
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,5839.59,1975,238
22356,CHARLOTTE BAG PINK POLKADOT,5838.09,7303,487
47591D,PINK FAIRY CAKE CHILDRENS APRON,5815.5599999999995,3140,397
21535,RED RETROSPOT SMALL MILK JUG,5804.7,2450,310
23172,REGENCY TEA PLATE PINK,5793.28,3688,224
22979,PANTRY WASHING UP BRUSH,5785.71,3913,304
21484,CHICK GREY HOT WATER BOTTLE,5770.27,1545,282
22779,WOODEN OWLS LIGHT GARLAND ,5768.6,1532,147
23247,BISCUIT TIN 50'S CHRISTMAS,5760.52,2048,271
22804,CANDLEHOLDER PINK HANGING HEART,5739.33,2035,343
84030E,ENGLISH ROSE HOT WATER BOTTLE,5729.66,1414,277
23485,BOTANICAL GARDENS WALL CLOCK ,5719.0,259,80
21888,BINGO SET,5718.21,1551,280
23113,PANTRY CHOPPING BOARD,5695.86,1138,43
71053,WHITE METAL LANTERN,5694.28,1586,238
62018,SOMBRERO ,5691.5,4402,59
23296,SET OF 6 TEA TIME BAKING CASES,5684.650000000001,4877,319
22784,LANTERN CREAM GAZEBO ,5676.87,1205,259
21922,UNION STRIPE WITH FRINGE  HAMMOCK,5674.14,758,167
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,5663.53,5699,336
22485,SET OF 2 WOODEN MARKET CRATES,5652.9,462,165
48129,DOORMAT TOPIARY,5644.46,880,182
23204,CHARLOTTE BAG APPLES DESIGN,5632.15,7039,425
22971,QUEENS GUARD COFFEE MUG,5603.57,2365,233
21156,RETROSPOT CHILDRENS APRON,5585.92,3038,292
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5578.14,4534,307
84988,SET OF 72 PINK HEART PAPER DOILIES,5565.23,3953,307
23311,VINTAGE CHRISTMAS STOCKING ,5564.25,2199,281
